nome_bairro
Aflitos
Afogados
Agua Fria
Alto Do Mandu
Alto Jose Bonifacio
Alto Jose Do Pinho
Alto Santa Terezinha
Apipucos
Areias
Arruda
Barro
Beberibe
Boa Viagem
Boa Vista
Bomba Do Hemeterio
Bongi
Brasilia Teimosa
Brejo Da Guabiraba
Brejo De Beberibe
Cabanga
Cacote
Cajueiro
Campina Do Barreto
Campo Grande
Casa Amarela
Casa Forte
Caxanga
Cidade Universitaria
Coelhos
Cohab
Coqueiral
Cordeiro
Corrego Do Jenipapo
Curado
Derby
Dois Irmaos
Dois Unidos
Encruzilhada
Engenho Do Meio
Espinheiro
Estancia
Fundao
Gracas
Guabiraba
Hipodromo
Ibura
Ilha Do Leite
Ilha Do Retiro
Ilha Joana Bezerra
Imbiribeira
Ipsep
Iputinga
Jaqueira
Jardim Sao Paulo
Jiquia
Jordao
Linha Do Tiro
Macaxeira
Madalena
Mangabeira
Mangueira
Monteiro
Morro Da Conceicao
Mustardinha
Nova Descoberta
Paissandu
Parnamirim
Passarinho
Peixinhos
Pina
Poco
Ponto De Parada
Porto Da Madeira
Prado
Recife
Rosarinho
San Martin
Sancho
Santana
Santo Amaro
Santo Antonio
Sao Jose
Sitio Dos Pintos
Soledade
Tamarineira
Tejipio
Torre
Torreao
Torroes
Toto
Varzea
Vasco Da Gama
Zumbi
